•=•1*€	•2*4-2	Y=X*A+N	Z=Y+X2		
1,46	-1,25	32,23	30,98	A =	7,00
2,63	-0,63	40,38	39,75	N = 	22,00
5,34	1,96	59,38	61,33		
0,59	0,55	26,13	26,69		
5,73	1,02	62,08	63,10		
4,04	1,95	50,30	52,25		
1,93	0,56	35,49	36,05		
2,98	-0,07	42,83	42,76		
4,75	-0,59	55,26	54,66		
0,50	-1,64	25,48	23,84		
3,07	1,48	43,51	44,99		
3,16	-1,76	44,09	42,33		
4,68	1,05	54,75	55,80		
3,22	-2,00	44,55	42,55		
2,05	-0,37	36,32	35,95		
3,86	0,43	49,01	49,44		
4,37	-0,85	52,58	51,73		
2,65	-1,23	40,52	39,29		
1,49	1,28	32,41	33,69		
6,14	1,28	64,95	66,23		
4,11	0,27	50,75	51,03		
0,37	-1,84	24,56	22,71		
4,96	-1,29	56,75	55,46		
4,73	1,34	55,13	56,47		
3,04	0,48	43,28	43,76		
4,02	-0,78	50,13	49,35		
6,61	-0,56	68,27	67,71		
5,15	0,59	58,04	58,63		
6,64	0,03	68,49	68,53		
0,52	1,51	25,67	27,18		
0,88	1,56	28,13	29,69		
4,95	1,00	56,66	57,65		
6,74	-0,93	69,16	68,23		
0,66	-1,39	26,61	25,22		
3,09	-0,40	43,64	43,24		
0,75	1,19	27,25	28,44		
0,57	0,98	25,99	26,97		
3,85	-0,98	48,97	47,99		
0,74	1,37	27,17	28,54		
4,46	-0,70	53,22	52,52		
2,75	-1,10	41,22	40,11		
3,08	-0,31	43,53	43,22		
6,99	0,28	70,94	71,21		
6,69	-1,57	68,84	67,26		
5,68	-0,61	61,74	61,13		
6,28	1,37	65,94	67,31		
6,89	0,72	70,25	70,97		
1,42	0,43	31,92	32,36		
5,88	-0,47	63,19	62,72		
5,34	1,73	59,37	61,10		
3,91	-1,49	49,38	47,89		
4,68	-0,61	54,79	54,18		
5,00	0,72	56,97	57,69		
2,86	1,18	42,02	43,20		
4,62	-1,88	54,31	52,43		
5,60	-1,91	61,23	59,32		
1,52	-0,10	32,62	32,52		
5,77	-1,55	62,42	60,86		
6,69	-1,90	68,85	66,94		
2,82	-1,99	41,75	39,76		
5,29	-1,35	59,01	57,66		
0,19	1,53	23,33	24,86		
2,07	0,47	36,52	36,99		
5,85	-1,99	62,94	60,94		
2,00	-1,73	36,00	34,27		
5,73	1,19	62,13	63,32		
1,83	-1,23	34,78	33,55		
3,38	-0,78	45,63	44,85		
4,03	-0,33	50,18	49,86		
5,02	-0,46	57,15	56,69		
0,72	-0,99	27,04	26,05		
1,95	-1,98	35,68	33,70		
5,38	-1,47	59,68	58,21		
4,44	-0,28	53,08	52,79		
2,66	-0,39	40,65	40,26		
2,80	0,90	41,60	42,50		
3,51	0,92	46,60	47,53		
5,48	0,00	60,37	60,37		
0,00	-1,84	22,02	20,19		
7,00	-1,18	71,00	69,82		
4,76	1,70	55,30	57,00		
6,15	-1,42	65,04	63,62		
2,59	0,28	40,15	40,43		
4,09	-0,12	50,65	50,53		
3,49	0,56	46,41	46,97		
6,65	-1,25	68,56	67,31		
1,92	0,70	35,42	36,12		
6,45	0,63	67,17	67,80		
0,93	-0,50	28,54	28,04		
3,39	-0,04	45,70	45,66		
3,96	0,01	49,70	49,72		
1,19	-0,17	30,35	30,18		
6,39	-1,93	66,72	64,79		
4,72	-1,46	55,05	53,59		
5,76	-0,04	62,29	62,26		
3,83	0,13	48,84	48,97		
1,61	-0,28	33,29	33,01		
2,63	0,89	40,42	41,31		
2,19	0,92	37,31	38,23		
4,10	-1,81	50,69	48,88		
